County + State,Total number of voters,Result,% bachelor's degree 2014-18,Population Change 2010-2019,Percent in Poverty,Estimate Median Household Income,Known Number of Cases per 100k
"Kendall,IL","61,327",48,35.4,1.11803,4.2,"93,345","4,107.30"
"Boise,ID","4,840",74,27.2,1.11792,12.8,"56,837","1,519.60"
"Dane,WI","344,745",24,50.7,1.11749,10.8,"71,789","4,485.00"
"Washoe,NV","231,692",48,30.5,1.11747,10.4,"63,636","4,186.90"
"Madison,MT","6,107",70,28.9,1.11746,9.2,"53,031","4,104.70"
"Box Elder,UT","17,200",80,23.3,1.11701,7.3,"62,689","3,174.20"
"Newton,GA","54,177",45,19.6,1.11596,14.8,"56,598","2,863.70"
"Thomas,NE",427,89,24,1.11592,15,"48,275","3,739.60"
"Seminole,FL","260,996",49,38.2,1.11529,9.9,"67,187","2,519.40"
"Lancaster,NE","153,031",46,38.8,1.11507,12.4,"58,618","4,323.90"
"Hidalgo,TX","219,433",42,18.4,1.11494,30,"38,785","4,453.40"
"Yavapai,AZ","133,574",64,25.2,1.11430,13.2,"48,758","1,696.70"
"Broward,FL","956,076",35,31.9,1.11409,12.6,"57,200","5,037.80"
"Madison,KY","43,853",64,30.5,1.11404,16.5,"51,897","3,469.30"
"San Juan,WA","12,326",24,48.6,1.11398,10.2,"62,249",307.1
"Esmeralda,NV",474,83.5,16.5,1.11352,14.4,"50,179",572.7
"Boundary,ID","6,313",80,19,1.11328,13.5,"47,118","2,580.60"
"Hancock,IN","42,645",69,30.3,1.11276,5.6,"73,831","2,860.50"
"Chesterfield,VA","212,576",47,39.9,1.11225,7.6,"80,734","2,370.50"
"Saguache,CO","3,337",43,22.9,1.11213,24.6,"36,869","2,857.60"
"Meade,SD","13,670",74,27.2,1.11176,8.4,"59,524","5,350.80"
"San Miguel,CO","5,057",22,56.7,1.11173,8.6,"69,458","2,115.20"
"Jessamine,KY","25,974",67,29.5,1.11160,12.6,"59,443","2,686.90"
"Ouray,CO","3,960",40,48.6,1.11131,7.5,"68,900","2,100.20"
"St. Charles,MO","222,175",59,37.8,1.11116,5.7,"82,048","4,310.20"
"Radford,VA","6,246",46,39.1,1.11071,30.4,"39,254","5,825.00"
"Dallas,TX","919,929",34,30.7,1.11063,14.2,"59,838","4,248.10"
"Warren,IA","30,955",59,31.7,1.11062,7.1,"78,192","4,540.90"
"Shelby,AL","114,439",71,42.1,1.11054,8,"75,663","4,338.00"
"St. Tammany,LA","140,107",72,33.5,1.11032,11.8,"67,054","3,553.90"
"Linn,OR","71,148",62,19.5,1.11000,12.7,"54,292",895.6
"Loudon,TN","29,375",75,26.3,1.11000,9.1,"58,186","3,834.10"
"Lumpkin,GA","15,524",79,26.2,1.10990,14.9,"55,583","3,537.60"
"Clackamas,OR","187,952",41,36.8,1.10987,7.3,"81,061","1,182.50"
"Yoakum,TX","2,633",84,16.3,1.10979,12.1,"61,560","6,587.90"
"Madison,AL","193,955",54,41.7,1.10953,11.9,"63,755","3,173.40"
"Charles,MD","57,151",37,28.9,1.10939,6.6,"92,616","2,376.60"
"Tangipahoa,LA","57,650",67,19.4,1.10926,17.9,"47,128","4,511.00"
"San Joaquin,CA","142,283",39,18.4,1.10918,14.3,"63,567","3,208.00"
"Orange,NC","84,010",25,57.6,1.10819,12.4,"71,920","2,442.80"
"Frederick,MD","122,055",48,40.6,1.10814,6.2,"95,196","2,257.40"
"Sandoval,NM","76,142",46,30,1.10811,12.6,"57,036","2,457.30"
"Lubbock,TX","120,204",66,29.1,1.10798,17.6,"50,377","8,727.50"
"Spotsylvania,VA","75,224",54,31.5,1.10766,7.5,"86,695","2,073.90"
"Harrison,MS","60,941",69,22.3,1.10764,20,"45,355","3,173.80"
"Spokane,WA","271,113",52,30.4,1.10743,13,"59,408","2,549.90"
"Sanpete,UT","12,133",84,18.8,1.10734,14.8,"52,910","2,776.40"
"Broadwater,MT","4,056",79,27,1.10723,10.3,"52,840","2,421.00"
"Pickens,GA","17,113",83,23.7,1.10718,11,"65,062","2,970.10"
"Wagoner,OK","35,204",75,23.3,1.10709,10,"62,889","2,938.90"
"Richland,MT","5,789",84,19,1.10698,8.7,"67,242","4,535.80"
"Gilmer,GA","16,450",82,20,1.10692,17.4,"47,757","3,691.50"
"Brevard,FL","361,306",58,29.3,1.10658,11,"57,612","2,344.40"
"Duval,FL","493,118",48,29.2,1.10643,14.5,"55,733","4,149.80"
"Oklahoma,OK","294,460",51,31.8,1.10638,16.9,"52,346","4,177.00"
"Macon,TN","9,486",86,10,1.10635,18.1,"42,265","6,938.50"
"Wright,MN","80,549",65,28.4,1.10619,4.9,"87,377","4,203.70"
"Smith,TX","99,521",70,25.8,1.10619,15,"56,848","2,394.40"
"Putnam,TN","33,481",72,25.4,1.10608,14.5,"45,512","6,851.50"
"Dewey,SD","1,966",42,16,1.10606,25.8,"41,942","12,118.10"
"Davidson,TN","308,325",34,40.3,1.10577,15.4,"60,799","5,676.80"
"Boone,MO","91,200",44,46,1.10576,16.8,"55,136","5,197.20"
"Fannin,GA","14,825",83,21.3,1.10568,16.8,"43,439","3,558.90"
"Boulder,CO","179,246",20,60.8,1.10561,9.7,"83,591","2,829.90"
"Oldham,KY","37,884",61,42.2,1.10527,5.6,"102,136","2,820.40"
